Date	Time	Step	Mass (g)	Uair (kPa)
7/24/2019	3:56:26 PM	Large increment	19.71	290
7/24/2019	3:58:56 PM	Large increment	19.80	290
7/24/2019	4:01:26 PM	Large increment	19.88	290
7/24/2019	4:03:57 PM	Large increment	19.95	290
7/24/2019	4:06:27 PM	Large increment	20.03	290
7/24/2019	4:08:57 PM	Large increment	20.11	290
7/24/2019	4:11:27 PM	Large increment	20.18	290
7/24/2019	4:13:57 PM	Large increment	20.25	290
7/24/2019	4:16:28 PM	Large increment	20.32	290
7/24/2019	4:18:58 PM	Large increment	20.37	290
7/24/2019	4:21:28 PM	Large increment	20.44	290
7/24/2019	4:23:58 PM	Large increment	20.50	290
7/24/2019	4:26:28 PM	Large increment	20.55	290
7/24/2019	4:28:59 PM	Large increment	20.61	290
7/24/2019	4:31:29 PM	Large increment	20.66	290
7/24/2019	4:33:59 PM	Large increment	20.72	290
7/24/2019	4:36:29 PM	Large increment	20.77	290
7/24/2019	4:38:59 PM	Large increment	20.82	290
7/24/2019	4:41:30 PM	Large increment	20.86	290
7/24/2019	4:44:00 PM	Large increment	20.91	290
7/24/2019	4:46:30 PM	Large increment	20.96	290
7/24/2019	4:49:00 PM	Large increment	21.00	290
7/24/2019	4:51:30 PM	Large increment	21.05	290
7/24/2019	4:54:01 PM	Large increment	21.09	290
7/24/2019	4:56:31 PM	Large increment	21.13	290
7/24/2019	4:59:01 PM	Large increment	21.17	290
7/24/2019	5:01:31 PM	Large increment	21.20	290
7/24/2019	5:04:02 PM	Large increment	21.24	290
7/24/2019	5:06:32 PM	Large increment	21.28	290
7/24/2019	5:09:02 PM	Large increment	21.32	290
7/24/2019	5:11:32 PM	Large increment	21.37	290
7/24/2019	5:14:02 PM	Large increment	21.40	290
7/24/2019	5:16:33 PM	Large increment	21.44	290
7/24/2019	5:19:03 PM	Large increment	21.47	290
7/24/2019	5:26:03 PM	Large increment	21.56	290
7/24/2019	5:31:03 PM	Large increment	21.62	290
7/24/2019	5:36:03 PM	Large increment	21.68	290
7/24/2019	5:41:03 PM	Large increment	21.74	290
7/24/2019	5:46:04 PM	Large increment	21.79	290
7/24/2019	5:51:04 PM	Large increment	21.84	290
7/24/2019	5:56:04 PM	Large increment	21.90	290
7/24/2019	6:01:04 PM	Large increment	21.95	290
7/24/2019	6:06:04 PM	Large increment	21.99	290
7/24/2019	6:11:04 PM	Large increment	22.04	290
7/24/2019	6:16:04 PM	Large increment	22.10	290
7/24/2019	6:21:04 PM	Large increment	22.14	290
7/24/2019	6:26:04 PM	Large increment	22.18	290
7/24/2019	6:31:04 PM	Large increment	22.22	290
7/24/2019	6:36:04 PM	Large increment	22.26	290
7/24/2019	6:41:04 PM	Large increment	22.30	290
7/24/2019	6:46:04 PM	Large increment	22.34	290
7/24/2019	6:51:04 PM	Large increment	22.37	290
7/24/2019	6:56:04 PM	Large increment	22.41	290
7/24/2019	7:01:05 PM	Large increment	22.44	290
7/24/2019	7:06:05 PM	Large increment	22.48	290
7/24/2019	7:11:05 PM	Large increment	22.51	290
7/24/2019	7:16:05 PM	Large increment	22.55	290
7/24/2019	7:21:05 PM	Large increment	22.58	290
7/24/2019	7:26:05 PM	Large increment	22.61	290
7/24/2019	7:31:05 PM	Large increment	22.64	290
7/24/2019	7:36:05 PM	Large increment	22.67	290
7/24/2019	7:41:05 PM	Large increment	22.70	290
7/24/2019	7:46:05 PM	Large increment	22.73	290
7/24/2019	7:51:05 PM	Large increment	22.75	290
7/24/2019	7:56:05 PM	Large increment	22.78	290
7/24/2019	8:01:05 PM	Large increment	22.81	290
7/24/2019	8:06:05 PM	Large increment	22.83	290
7/24/2019	8:11:06 PM	Large increment	22.86	290
7/24/2019	8:16:06 PM	Large increment	22.88	290
7/24/2019	8:21:06 PM	Large increment	22.91	290
7/24/2019	8:26:06 PM	Large increment	22.93	290
7/24/2019	8:31:06 PM	Large increment	22.95	290
7/24/2019	8:36:06 PM	Large increment	22.98	290
7/24/2019	8:41:06 PM	Large increment	23.00	290
7/24/2019	8:46:06 PM	Large increment	23.02	290
