Date	Time	Step	Mass (g)	Uair (kPa)
7/24/2019	3:23:23 PM	Large increment	18.11527426627201	290.0
7/24/2019	3:25:53 PM	Large increment	18.275435203772012	290.0
7/24/2019	3:28:24 PM	Large increment	18.430137040849843	290.0
7/24/2019	3:30:54 PM	Large increment	18.570297978349842	290.0
7/24/2019	3:33:24 PM	Large increment	18.704998742511005	290.0
7/24/2019	3:35:54 PM	Large increment	18.835159680011007	290.0
7/24/2019	3:38:24 PM	Large increment	18.955320617511006	290.0
7/24/2019	3:40:55 PM	Large increment	19.065482627927672	290.0
7/24/2019	3:43:25 PM	Large increment	19.175643565427674	290.0
7/24/2019	3:45:55 PM	Large increment	19.281264676266506	290.0
7/24/2019	3:48:25 PM	Large increment	19.37596544042767	290.0
7/24/2019	3:50:55 PM	Large increment	19.476126377927674	290.0
7/24/2019	3:53:26 PM	Large increment	19.56628838834434	290.0
7/24/2019	3:55:56 PM	Large increment	19.65644932584434	290.0
7/24/2019	3:58:56 PM	Large increment	19.75664245084434	290.0
7/24/2019	4:01:56 PM	Large increment	19.851375402505504	290.0
7/24/2019	4:04:57 PM	Large increment	19.94156960042217	290.0
7/24/2019	4:07:57 PM	Large increment	20.03176272542217	290.0
7/24/2019	4:10:57 PM	Large increment	20.121955850422168	290.0
7/24/2019	4:14:27 PM	Large increment	20.212181162922167	290.0
7/24/2019	4:17:58 PM	Large increment	20.302407548338834	290.0
7/24/2019	4:21:28 PM	Large increment	20.392632860838834	290.0
7/24/2019	4:25:28 PM	Large increment	20.482890360838834	290.0
7/24/2019	4:29:29 PM	Large increment	20.5731489337555	290.0
7/24/2019	4:33:29 PM	Large increment	20.6634064337555	290.0
7/24/2019	4:37:59 PM	Large increment	20.7536961212555	290.0
7/24/2019	4:43:00 PM	Large increment	20.84401906917217	290.0
7/24/2019	4:48:00 PM	Large increment	20.948880770833334	290.0
7/24/2019	4:54:01 PM	Large increment	21.04472826708884	290.0
7/24/2019	5:00:01 PM	Large increment	21.135114517088837	290.0
7/24/2019	5:05:32 PM	Large increment	21.230009479166664	290.0
7/24/2019	5:11:32 PM	Large increment	21.320395729166666	290.0
7/24/2019	5:18:03 PM	Large increment	21.410815239583332	290.0
7/24/2019	5:31:03 PM	Large increment	21.54441315461635	290.0
7/24/2019	5:41:03 PM	Large increment	21.66505690461635	290.0
7/24/2019	5:51:04 PM	Large increment	21.77024155419418	290.0
7/24/2019	6:01:04 PM	Large increment	21.88088530419418	290.0
7/24/2019	6:11:04 PM	Large increment	21.97152905419418	290.0
7/24/2019	6:21:04 PM	Large increment	22.066712630855346	290.0
7/24/2019	6:36:04 PM	Large increment	22.187678255855346	290.0
7/24/2019	6:51:04 PM	Large increment	22.303183707516506	290.0
7/24/2019	7:06:05 PM	Large increment	22.40961057877201	290.0
7/24/2019	7:21:05 PM	Large increment	22.505116030433175	290.0
7/24/2019	7:36:05 PM	Large increment	22.596081655433174	290.0
7/24/2019	7:56:05 PM	Large increment	22.707369155433174	290.0
7/24/2019	8:16:06 PM	Large increment	22.81319755501101	290.0
7/24/2019	8:41:06 PM	Large increment	22.924806930011005	290.0
7/24/2019	9:06:06 PM	Large increment	23.026416305011004	290.0
7/24/2019	9:31:07 PM	Large increment	23.122566579588835	290.0
7/24/2019	10:01:07 PM	Large increment	23.224497829588838	290.0
7/24/2019	10:31:08 PM	Large increment	23.316430152505504	290.0
7/24/2019	11:06:08 PM	Large increment	23.41414345084434	290.0
7/24/2019	11:41:09 PM	Large increment	23.506397648761006	290.0
7/25/2019	12:26:10 AM	Large increment	23.603835423338836	290.0
7/25/2019	1:11:11 AM	Large increment	23.6967333712555	290.0
7/25/2019	2:01:12 AM	Large increment	23.789953194172167	290.0
7/25/2019	3:01:12 AM	Large increment	23.883815694172167	290.0
7/25/2019	4:06:13 AM	Large increment	23.978001142088836	290.0
7/25/2019	5:11:14 AM	Large increment	24.066726416666665	290.0
7/25/2019	6:31:15 AM	Large increment	24.161877489583333	290.0
