 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  31. 7.2019    Time:  14:44:26
 Units: L = cm   , T = sec  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      27.6006  0.00000E+00  0.00000E+00 -0.11826E-09  0.00000E+00 -0.58134E-05  0.00000E+00  0.00000E+00  0.56771E-08  0.00000E+00 -0.16629E-03 -0.58455E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13906E+01  0.00000E+00  0.77553E-08     18  0.00000E+00      0.000
      40.0000  0.00000E+00  0.00000E+00 -0.98495E-10  0.00000E+00 -0.56668E-05  0.00000E+00  0.00000E+00  0.44558E-08  0.00000E+00 -0.23656E-03 -0.68224E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13905E+01  0.00000E+00  0.77553E-08     19  0.00000E+00      0.000
      50.0000  0.00000E+00  0.00000E+00  0.88477E-10  0.00000E+00 -0.55611E-05  0.00000E+00  0.00000E+00  0.53406E-08  0.00000E+00 -0.29217E-03 -0.75291E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13905E+01  0.00000E+00  0.86400E-08     20  0.00000E+00      0.000
      65.0000  0.00000E+00  0.00000E+00  0.40572E-10  0.00000E+00 -0.54244E-05  0.00000E+00  0.00000E+00  0.59492E-08  0.00000E+00 -0.37353E-03 -0.84382E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13904E+01  0.00000E+00  0.92486E-08     21  0.00000E+00      0.000
      80.0000  0.00000E+00  0.00000E+00  0.67182E-10  0.00000E+00 -0.53010E-05  0.00000E+00  0.00000E+00  0.69569E-08  0.00000E+00 -0.45305E-03 -0.92615E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13903E+01  0.00000E+00  0.10256E-07     22  0.00000E+00      0.000
      96.6667  0.00000E+00  0.00000E+00 -0.52907E-10  0.00000E+00 -0.51775E-05  0.00000E+00  0.00000E+00  0.60751E-08  0.00000E+00 -0.53934E-03 -0.10083E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13902E+01  0.00000E+00  0.10256E-07     23  0.00000E+00      0.000
     130.0000  0.00000E+00  0.00000E+00 -0.65548E-10  0.00000E+00 -0.49654E-05  0.00000E+00  0.00000E+00  0.38902E-08  0.00000E+00 -0.70485E-03 -0.11495E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13901E+01  0.00000E+00  0.10256E-07     24  0.00000E+00      0.000
     155.0000  0.00000E+00  0.00000E+00  0.11781E-09  0.00000E+00 -0.48203E-05  0.00000E+00  0.00000E+00  0.68354E-08  0.00000E+00 -0.82536E-03 -0.12462E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13900E+01  0.00000E+00  0.13202E-07     25  0.00000E+00      0.000
     180.0000  0.00000E+00  0.00000E+00 -0.78408E-10  0.00000E+00 -0.46905E-05  0.00000E+00  0.00000E+00  0.48752E-08  0.00000E+00 -0.94262E-03 -0.13324E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13898E+01  0.00000E+00  0.13202E-07     26  0.00000E+00      0.000
     230.0000  0.00000E+00  0.00000E+00 -0.12119E-09  0.00000E+00 -0.44604E-05  0.00000E+00  0.00000E+00 -0.11843E-08  0.00000E+00 -0.11656E-02 -0.14857E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13896E+01  0.00000E+00  0.13202E-07     27  0.00000E+00      0.000
     280.0000  0.00000E+00  0.00000E+00  0.71701E-10  0.00000E+00 -0.42568E-05  0.00000E+00  0.00000E+00  0.24007E-08  0.00000E+00 -0.13785E-02 -0.16213E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13894E+01  0.00000E+00  0.16787E-07     28  0.00000E+00      0.000
     331.0000  0.00000E+00  0.00000E+00  0.17107E-09  0.00000E+00 -0.40711E-05  0.00000E+00  0.00000E+00  0.11125E-07  0.00000E+00 -0.15861E-02 -0.17447E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13892E+01  0.00000E+00  0.25511E-07     29  0.00000E+00      0.000
     381.0000  0.00000E+00  0.00000E+00  0.18131E-09  0.00000E+00 -0.39060E-05  0.00000E+00  0.00000E+00  0.20191E-07  0.00000E+00 -0.17814E-02 -0.18552E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13890E+01  0.00000E+00  0.34577E-07     30  0.00000E+00      0.000
     431.0000  0.00000E+00  0.00000E+00  0.22398E-09  0.00000E+00 -0.37512E-05  0.00000E+00  0.00000E+00  0.31390E-07  0.00000E+00 -0.19690E-02 -0.19581E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13888E+01  0.00000E+00  0.45776E-07     31  0.00000E+00      0.000
     481.0000  0.00000E+00  0.00000E+00  0.18262E-09  0.00000E+00 -0.36103E-05  0.00000E+00  0.00000E+00  0.40521E-07  0.00000E+00 -0.21495E-02 -0.20515E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13886E+01  0.00000E+00  0.54907E-07     32  0.00000E+00      0.000
     531.0000  0.00000E+00  0.00000E+00  0.97010E-10  0.00000E+00 -0.34805E-05  0.00000E+00  0.00000E+00  0.45371E-07  0.00000E+00 -0.23235E-02 -0.21380E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13885E+01  0.00000E+00  0.59757E-07     33  0.00000E+00      0.000
     581.0000  0.00000E+00  0.00000E+00  0.39343E-10  0.00000E+00 -0.33606E-05  0.00000E+00  0.00000E+00  0.47338E-07  0.00000E+00 -0.24915E-02 -0.22183E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13883E+01  0.00000E+00  0.61724E-07     34  0.00000E+00      0.000
     631.0000  0.00000E+00  0.00000E+00 -0.94104E-10  0.00000E+00 -0.32454E-05  0.00000E+00  0.00000E+00  0.42633E-07  0.00000E+00 -0.26538E-02 -0.22952E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13881E+01  0.00000E+00  0.61724E-07     35  0.00000E+00      0.000
     681.0000  0.00000E+00  0.00000E+00 -0.86871E-10  0.00000E+00 -0.31344E-05  0.00000E+00  0.00000E+00  0.38290E-07  0.00000E+00 -0.28105E-02 -0.23691E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13880E+01  0.00000E+00  0.61724E-07     36  0.00000E+00      0.000
     731.0000  0.00000E+00  0.00000E+00 -0.77549E-10  0.00000E+00 -0.30295E-05  0.00000E+00  0.00000E+00  0.34412E-07  0.00000E+00 -0.29620E-02 -0.24387E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13878E+01  0.00000E+00  0.61724E-07     37  0.00000E+00      0.000
     781.0000  0.00000E+00  0.00000E+00 -0.32898E-11  0.00000E+00 -0.29314E-05  0.00000E+00  0.00000E+00  0.34248E-07  0.00000E+00 -0.31086E-02 -0.25038E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13877E+01  0.00000E+00  0.61724E-07     38  0.00000E+00      0.000
     831.0000  0.00000E+00  0.00000E+00 -0.20454E-09  0.00000E+00 -0.28394E-05  0.00000E+00  0.00000E+00  0.24021E-07  0.00000E+00 -0.32505E-02 -0.25651E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13875E+01  0.00000E+00  0.61724E-07     39  0.00000E+00      0.000
     881.0000  0.00000E+00  0.00000E+00 -0.72454E-10  0.00000E+00 -0.27531E-05  0.00000E+00  0.00000E+00  0.20398E-07  0.00000E+00 -0.33882E-02 -0.26227E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13874E+01  0.00000E+00  0.61724E-07     40  0.00000E+00      0.000
     932.0000  0.00000E+00  0.00000E+00 -0.18898E-09  0.00000E+00 -0.26703E-05  0.00000E+00  0.00000E+00  0.10760E-07  0.00000E+00 -0.35244E-02 -0.26781E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13873E+01  0.00000E+00  0.61724E-07     41  0.00000E+00      0.000
     982.0000  0.00000E+00  0.00000E+00 -0.16254E-10  0.00000E+00 -0.25927E-05  0.00000E+00  0.00000E+00  0.99474E-08  0.00000E+00 -0.36540E-02 -0.27301E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13871E+01  0.00000E+00  0.61724E-07     42  0.00000E+00      0.000
    1032.0000  0.00000E+00  0.00000E+00  0.79332E-11  0.00000E+00 -0.25172E-05  0.00000E+00  0.00000E+00  0.10344E-07  0.00000E+00 -0.37799E-02 -0.27804E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13870E+01  0.00000E+00  0.62121E-07     43  0.00000E+00      0.000
    1082.0000  0.00000E+00  0.00000E+00  0.20875E-09  0.00000E+00 -0.24441E-05  0.00000E+00  0.00000E+00  0.20781E-07  0.00000E+00 -0.39021E-02 -0.28292E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13869E+01  0.00000E+00  0.72558E-07     44  0.00000E+00      0.000
    1132.0000  0.00000E+00  0.00000E+00 -0.66922E-10  0.00000E+00 -0.23730E-05  0.00000E+00  0.00000E+00  0.17435E-07  0.00000E+00 -0.40207E-02 -0.28765E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13868E+01  0.00000E+00  0.72558E-07     45  0.00000E+00      0.000
    1232.0000  0.00000E+00  0.00000E+00 -0.33456E-10  0.00000E+00 -0.22395E-05  0.00000E+00  0.00000E+00  0.14090E-07  0.00000E+00 -0.42447E-02 -0.29656E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13865E+01  0.00000E+00  0.72558E-07     46  0.00000E+00      0.000
    1332.0000  0.00000E+00  0.00000E+00 -0.13261E-09  0.00000E+00 -0.21146E-05  0.00000E+00  0.00000E+00  0.82884E-09  0.00000E+00 -0.44561E-02 -0.30487E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13863E+01  0.00000E+00  0.72558E-07     47  0.00000E+00      0.000
    1432.0000  0.00000E+00  0.00000E+00 -0.20762E-10  0.00000E+00 -0.20012E-05  0.00000E+00  0.00000E+00 -0.12474E-08  0.00000E+00 -0.46563E-02 -0.31240E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13861E+01  0.00000E+00  0.72558E-07     48  0.00000E+00      0.000
    1532.0000  0.00000E+00  0.00000E+00  0.10649E-09  0.00000E+00 -0.18973E-05  0.00000E+00  0.00000E+00  0.94019E-08  0.00000E+00 -0.48460E-02 -0.31933E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13859E+01  0.00000E+00  0.83208E-07     49  0.00000E+00      0.000
    1632.0000  0.00000E+00  0.00000E+00 -0.22351E-09  0.00000E+00 -0.18021E-05  0.00000E+00  0.00000E+00 -0.12949E-07  0.00000E+00 -0.50262E-02 -0.32569E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13858E+01  0.00000E+00  0.83208E-07     50  0.00000E+00      0.000
    1733.0000  0.00000E+00  0.00000E+00 -0.13820E-09  0.00000E+00 -0.17133E-05  0.00000E+00  0.00000E+00 -0.26908E-07  0.00000E+00 -0.51992E-02 -0.33163E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13856E+01  0.00000E+00  0.83208E-07     51  0.00000E+00      0.000
    1833.0000  0.00000E+00  0.00000E+00 -0.25210E-09  0.00000E+00 -0.16305E-05  0.00000E+00  0.00000E+00 -0.52118E-07  0.00000E+00 -0.53623E-02 -0.33717E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13854E+01  0.00000E+00  0.83208E-07     52  0.00000E+00      0.000
    1933.0000  0.00000E+00  0.00000E+00  0.86462E-10  0.00000E+00 -0.15516E-05  0.00000E+00  0.00000E+00 -0.43472E-07  0.00000E+00 -0.55175E-02 -0.34243E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13853E+01  0.00000E+00  0.91854E-07     53  0.00000E+00      0.000
    2033.0000  0.00000E+00  0.00000E+00 -0.36797E-09  0.00000E+00 -0.14767E-05  0.00000E+00  0.00000E+00 -0.80269E-07  0.00000E+00 -0.56651E-02 -0.34743E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13851E+01  0.00000E+00  0.91854E-07     54  0.00000E+00      0.000
    2133.0000  0.00000E+00  0.00000E+00  0.10511E-09  0.00000E+00 -0.14053E-05  0.00000E+00  0.00000E+00 -0.69758E-07  0.00000E+00 -0.58057E-02 -0.35219E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13850E+01  0.00000E+00  0.10236E-06     55  0.00000E+00      0.000
    2233.0000  0.00000E+00  0.00000E+00 -0.26318E-09  0.00000E+00 -0.13374E-05  0.00000E+00  0.00000E+00 -0.96075E-07  0.00000E+00 -0.59394E-02 -0.35672E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13848E+01  0.00000E+00  0.10236E-06     56  0.00000E+00      0.000
    2434.0000  0.00000E+00  0.00000E+00  0.10627E-09  0.00000E+00 -0.12144E-05  0.00000E+00  0.00000E+00 -0.74714E-07  0.00000E+00 -0.61835E-02 -0.36493E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13846E+01  0.00000E+00  0.12373E-06     57  0.00000E+00      0.000
    2634.0000  0.00000E+00  0.00000E+00 -0.20943E-09  0.00000E+00 -0.11023E-05  0.00000E+00  0.00000E+00 -0.11660E-06  0.00000E+00 -0.64040E-02 -0.37242E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13844E+01  0.00000E+00  0.12373E-06     58  0.00000E+00      0.000
    2834.0000  0.00000E+00  0.00000E+00  0.15013E-09  0.00000E+00 -0.10011E-05  0.00000E+00  0.00000E+00 -0.86574E-07  0.00000E+00 -0.66042E-02 -0.37917E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13842E+01  0.00000E+00  0.15375E-06     59  0.00000E+00      0.000
